Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
Not a protected category < 20 years,Male,Engineering,Three-year degree,Automotive,Engineering,Junior Consultant,2,3,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,1,2,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Female,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,3,3,3,3,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,3,3,3,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Doctorate,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Law,Five-year degree,Oil and Gas,Engineering,Junior Consultant,2,2,3,2,3,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Five-year degree,Aeronautics,Business Management & Sales,Business Manager,2,3,2,2,1,3,Yes,Yes,Positive
Not a protected category 36 - 40 years,Male,Scientific Field,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,NO COLLEGE,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,2,2,2,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Economic,master's degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Economic,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Other Humanities Subjects,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,2,2,2,1,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,master's degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Yes > 45 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Medical Field,High school graduation,Others,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,1,2,3,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Informatics,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,1,2,2,1,2,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,3,3,3,3,Yes,Yes,Positive
Not a protected category < 20 years,Female,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Scientific Field,High school graduation,Others,Engineering,Technician,1,4,2,3,4,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,1,1,1,2,2,1,Yes,Yes,Negative
Not a protected category < 20 years,Female,Other Humanities Subjects,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,3,2,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,3,2,2,3,2,Yes,Yes,Negative
Not a protected category < 20 years,Female,Other Humanities Subjects,master's degree,Others,Not Specified,Not Specified,2,1,1,1,1,1,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Scientific Field,Five-year degree,Others,Not Specified,Not Specified,1,1,2,1,1,1,Yes,Yes,Negative
Not a protected category < 20 years,Male,Scientific Field,Professional qualification,Others,Engineering,Technician,3,2,4,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Scientific Field,Three-year degree,Others,Not Specified,Not Specified,1,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 36 - 40 years,Female,Other,Five-year degree,Others,Engineering,Consultant,3,2,2,2,1,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,2,2,1,2,1,2,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
