fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,performance,Accuracy,0.7833655705996132,0.7833655705996132,0.37001934235976786
0,performance,Precision,0.9876543209876544,0.9876543209876544,0.4925925925925926
0,performance,Recall,0.418848167539267,0.418848167539267,0.1513089005235602
0,performance,F1,0.5882352941176471,0.5882352941176471,0.2529411764705882
0,performance,Roc Auc,0.7078903414383452,0.7078903414383452,0.3247342048630071
0,fairness, Demographic Parity Ratio,0.5,0.5,0.0
0,fairness, Equalized Odds Ratio,0.0,0.0,0.0
1,performance,Accuracy,0.8278529980657641,0.8278529980657641,0.3967117988394584
1,performance,Precision,1.0,1.0,0.5
1,performance,Recall,0.531578947368421,0.531578947368421,0.21894736842105259
1,performance,F1,0.6941580756013745,0.6941580756013745,0.31649484536082473
1,performance,Roc Auc,0.7657894736842106,0.7657894736842106,0.3594736842105263
1,fairness, Demographic Parity Ratio,0.6666666666666667,0.6666666666666667,0.2333333333333333
1,fairness, Equalized Odds Ratio,0.0,0.0,0.0
2,performance,Accuracy,0.7906976744186046,0.7906976744186046,0.3744186046511627
2,performance,Precision,0.9659090909090908,0.9659090909090908,0.4795454545454546
2,performance,Recall,0.4473684210526316,0.4473684210526316,0.1684210526315789
2,performance,F1,0.6115107913669064,0.6115107913669064,0.26690647482014385
2,performance,Roc Auc,0.7190829835324508,0.7190829835324508,0.3314497901194705
2,fairness, Demographic Parity Ratio,0.782608695652174,0.782608695652174,0.4652173913043479
2,fairness, Equalized Odds Ratio,0.3194444444444444,0.3194444444444444,0.0
3,performance,Accuracy,0.7868217054263565,0.7868217054263565,0.37209302325581395
3,performance,Precision,1.0,1.0,0.5
3,performance,Recall,0.4210526315789473,0.4210526315789473,0.15263157894736837
3,performance,F1,0.5925925925925926,0.5925925925925926,0.25555555555555554
3,performance,Roc Auc,0.7105263157894737,0.7105263157894737,0.3263157894736842
3,fairness, Demographic Parity Ratio,0.7058823529411764,0.7058823529411764,0.31176470588235294
3,fairness, Equalized Odds Ratio,0.2857142857142857,0.2857142857142857,0.0
4,performance,Accuracy,0.8062015503875969,0.8062015503875969,0.38372093023255804
4,performance,Precision,1.0,1.0,0.5
4,performance,Recall,0.4736842105263157,0.4736842105263157,0.1842105263157894
4,performance,F1,0.6428571428571429,0.6428571428571429,0.2857142857142857
4,performance,Roc Auc,0.7368421052631579,0.7368421052631579,0.3421052631578947
4,fairness, Demographic Parity Ratio,0.7981220657276995,0.7981220657276995,0.49624413145539903
4,fairness, Equalized Odds Ratio,0.3636363636363636,0.3636363636363636,0.0
