s_frequency_of_work_with_teachers,s_frequency_of_evaluations,s_frequency_of_internet_usage,s_frequency_of_materials_in_class,f_ESCS,s_extent_of_classmates_affinity,s_extent_of_teacher_performance,s_extent_of_class_env,f_mother_age,s_frequency_of_computer_usage,f_number_of_homework_hours_a_week,s_extent_of_school_satisfaction,f_mother_education_level,f_extent_of_family_satisfaction,f_number_of_tech_at_home,f_frequency_of_books_at_home,f_frequency_of_parent_involved_in_school_activities,s_gender,level_MAT
0.6162447001246332,0.7506826650192295,0.32555929962637953,0.5126682172555204,OTHERS,0.835287260399542,0.9037590531182118,0.8950292441678698,29.936743274848187,0.3629296235815393,6.046157320133555,0.9781402940226277,1.9823784428957911,0.8159088323682832,4.176659902712487,0.2422759236231333,0.22249813602700355,0.4623970253789906,PASSING
0.6162446081173146,0.7506828772130512,0.325559193807604,0.5126684041173117,OTHERS,0.8352873394537023,0.9037591901253765,0.8950294671422565,29.93674726810923,0.3629296119374006,6.046158563681944,0.9781406109249418,1.9823787152499863,0.8159088659856539,4.176661095753193,0.24227567701218536,0.222498009252276,0.4623970313375598,AT RISK
0.6162447881899089,0.7506824619182793,0.32555940091113966,0.5126680384010178,OTHERS,0.8352871847338913,0.9037589219823539,0.8950290307486914,29.936739452735637,0.36292963472656364,6.04615612987875,0.9781399907000513,1.9823781822145292,0.8159088001923813,4.176658760799408,0.24227615966683838,0.2224982573688368,0.462397019675868,PASSING
0.6179863593043897,0.7466660197936396,0.3275623903618588,0.5091310706901184,DISADVANTAGED,0.8337908813269035,0.9011656427414599,0.890808537274965,29.861155932095553,0.36315002183069717,6.022618292660125,0.9721415857228604,1.9772230869052272,0.815272519574768,4.154076827377364,0.2469440779795036,0.22489786619326457,0.46228424271472984,AT RISK
0.6162447789820933,0.750682483160347,0.3255593903200389,0.5126680571061784,OTHERS,0.8352871926505931,0.903758935698175,0.8950290530697137,29.93673985258123,0.36292963355997115,6.0461562543810725,0.9781400224225946,1.9823782094832227,0.8159088035595379,4.176658880238418,0.24227613498139378,0.22249824467747603,0.46239702027296237,AT RISK
0.6162446339635649,0.750682817608781,0.32555922353302946,0.5126683516280888,DISADVANTAGED,0.835287317249785,0.9037591516411893,0.8950294045098619,29.936746146488165,0.36292961520757333,6.046158214385868,0.9781405219076087,1.9823786387502178,0.8159088565441598,4.17666076063966,0.2422757462853125,0.22249804486238456,0.4623970296642012,PASSING
0.6165099738512582,0.7500709005529504,0.3258643897245942,0.5121294820326602,DISADVANTAGED,0.8350593576559036,0.9033640587864565,0.8943863995604123,29.92523098823484,0.36296318993463467,6.04257218920735,0.9772266438299105,1.9815932558294713,0.8158119221235745,4.173220354459169,0.24298692260582022,0.22286363111564442,0.4623798491105062,PASSING
0.6162446540932557,0.7506827711859396,0.3255592466841285,0.512668310747087,OTHERS,0.8352872999554227,0.9037591216674141,0.8950293557284721,29.936745272884078,0.36292961775483323,6.04615794233166,0.9781404525767886,1.9823785791671453,0.8159088491900613,4.17666049963357,0.24227580023842313,0.22249807259740298,0.462397028360774,PASSING
0.616244997539665,0.7506819791538525,0.3255596416782311,0.5126676132621409,DISADVANTAGED,0.8352870049020028,0.9037586102812443,0.8950285234575415,29.936730368452565,0.3629296612106728,6.046153300801794,0.978139269700392,1.9823775626187026,0.8159087237269169,4.176656046572912,0.24227672075034737,0.22249854579129927,0.4623970061242947,AT RISK
0.6162453848852927,0.7506810858501649,0.32556008716598733,0.5126668265998824,OTHERS,0.835286672106153,0.9037580335043259,0.8950275847702474,29.93671355776669,0.36292971022797904,6.0461480657075155,0.9781379355859605,1.982376416066791,0.8159085822107182,4.176651024085332,0.2422777589512693,0.2224990794913769,0.4623969810414404,PASSING
0.616244610910823,0.7506828707555632,0.32555919702299363,0.5126683984327993,OTHERS,0.8352873370410067,0.9037591859547872,0.8950294603568074,29.936747146360435,0.3629296122938008,6.046158525802041,0.9781406012842115,1.9823787069504097,0.8159088649577315,4.176661059426858,0.24227568451217302,0.2224980131115364,0.46239703115483966,PASSING
0.6162449427855474,0.7506821054172017,0.32555957870718905,0.5126677244541552,OTHERS,0.8352870519353801,0.9037586918041707,0.8950286561357494,29.93673274436747,0.362929654284115,6.046154040723824,0.9781394582726329,1.9823777246691674,0.8159087437257799,4.176656756457609,0.24227657400314903,0.22249847035650716,0.4623970096685461,AT RISK
0.6162448444626522,0.7506823321615093,0.3255594656273292,0.5126679241313653,OTHERS,0.8352871364033589,0.9037588382048685,0.8950288943997738,29.93673701122242,0.3629296418435321,6.046155369507131,0.9781397969085869,1.98237801568727,0.8159087796432233,4.17665803128638,0.24227631047676623,0.22249833489002774,0.4623970160343228,PASSING
0.6162446320329044,0.750682822058076,0.3255592213131278,0.5126683555466798,OTHERS,0.8352873189058678,0.9037591545137292,0.8950294091852515,29.93674623016941,0.36292961496386944,6.0461582404527245,0.9781405285531639,1.9823786444584577,0.8159088572479793,4.176660785651128,0.242275741113243,0.22249804220444466,0.46239702978882785,PASSING
0.6162445779731816,0.7506829467248898,0.32555915913996364,0.5126684653318757,DISADVANTAGED,0.8352873653467399,0.903759235006448,0.8950295401857099,29.936748576116518,0.362929608124092,6.046158971030541,0.9781407147396963,1.982378804462767,0.8159088769953565,4.176661486565673,0.24227559622282138,0.22249796772339453,0.4623970332886918,PASSING
0.6162446640403778,0.7506827482461119,0.3255592581242756,0.5126682905457423,OTHERS,0.8352872914094887,0.9037591068559265,0.8950293316231975,29.93674484119543,0.3629296190135416,6.046157807896612,0.9781404183169735,1.9823785497243116,0.8159088455560971,4.176660370657798,0.24227582689934063,0.22249808630263998,0.4623970277166922,PASSING
0.6166446908872862,0.7497602143946067,0.32601932825565166,0.5118558849472626,OTHERS,0.8349436134483132,0.9031634591511247,0.8940599292011752,29.919384337253973,0.36298023767728943,6.0407514540519,0.9767626457468828,1.981194491466368,0.8157627037239495,4.171473561554794,0.24334800325980602,0.22304924923185276,0.4623711254911186,PASSING
0.6162446181795451,0.75068285400462,0.3255592053806736,0.5126683836798729,OTHERS,0.8352873308062551,0.9037591751402198,0.8950294427547748,29.93674683131869,0.3629296132112819,6.046158427665239,0.9781405762646753,1.9823786854600747,0.8159088623081319,4.176660965263176,0.24227570398424692,0.22249802311823802,0.4623970306856423,PASSING
0.6162446361858066,0.750682812475802,0.3255592260901767,0.5126683471090266,OTHERS,0.8352873153337743,0.9037591483262689,0.8950293991161384,29.936746049769916,0.3629296154903637,6.046158184284962,0.9781405142434958,1.982378632156072,0.8159088557283718,4.176660731769411,0.24227575224834785,0.22249804792967556,0.46239702951933437,PASSING
0.6162449670066682,0.750682049544534,0.32555960656631105,0.5126676752533726,OTHERS,0.8352870311140985,0.9037586557280299,0.8950285974246998,29.936731692722812,0.36292965735179866,6.046153713256808,0.9781393748319279,1.9823776529467483,0.8159087348701655,4.176656442303176,0.24227663893411283,0.22249850373847807,0.4623970080984481,AT RISK
0.6162447625043133,0.7506825211719168,0.3255593713671645,0.5126680905785495,OTHERS,0.835287206816415,0.9037589602419175,0.8950290930124397,29.93674056806159,0.3629296314727801,6.046156477168454,0.9781400791891739,1.9823782582787548,0.8159088095847061,4.176659093967597,0.24227609080746923,0.22249822196679142,0.46239702134122157,AT RISK
0.6162451349909358,0.75068166217218,0.325559799759603,0.5126673341198346,OTHERS,0.8352868868171834,0.9037584056174273,0.8950281903718164,29.936724403482206,0.3629296786025852,6.0461514431973145,0.9781387962982069,1.982377155782431,0.8159086735146849,4.17665426439808,0.24227708915129056,0.22249873516952237,0.4623969972248697,AT RISK
0.6162447620999706,0.7506825221113761,0.32555937090098974,0.5126680914048886,OTHERS,0.8352872071697601,0.9037589608492468,0.8950290939997531,29.936740585851776,0.36292963142024476,6.046156482692018,0.978140080590723,1.9823782594900627,0.8159088097359765,4.176659099259659,0.24227608971776984,0.22249822140491815,0.46239702136823063,PASSING
0.6162532255517914,0.7506629899411946,0.325569106989653,0.5126508928369606,DISADVANTAGED,0.8352799240139999,0.9037463481411937,0.8950085692820559,29.936372802606634,0.3629307050985974,6.04604198184631,0.9781109129569729,1.982353179207608,0.81590571070051,4.176549262478522,0.2422987858457149,0.2225098920019769,0.46239647169410875,AT RISK
0.616244608176863,0.7506828770693051,0.3255591938772191,0.5126684039915794,OTHERS,0.8352873393972218,0.9037591900321764,0.8950294669913132,29.936747265309574,0.362929611946128,6.046158562824408,0.9781406107116167,1.982378715060591,0.8159088659608148,4.176661094936809,0.24227567717703055,0.2224980093387466,0.4623970313329158,PASSING
